Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History
21548,MZ/CHA/84E07/2017/38,Mizoram,Champhai,,2 km north of Sesih,23.301117,93.330175,Rock,Slide,NA
21549,MZ/SER/84A15/2016/116,Mizoram,Serchhip,,"East of Tlawng River Bridge, SH-
Thenzawl-Buarpui Road",23.301399,92.699109,Rock,Slide,2016
21550,MZ/LUN/84A11/2017/136,Mizoram,Lunglei,,"North of Buarpui, SH-Aibawk-
Darlung- Buarpui-Lunglei Road",23.302106,92.649524,Rock,Slide,2017
21551,MZ/SER/84A15/2016/29,Mizoram,Serchhip,,"C. Biakchunga House, 
Pentecostal home, Old 
Serchhip, NH-54 Aizawl-
Serchhip-Lunglei Road",23.302456,92.853533,Rock,Slide,2015
21552,MZ/CHA/84E07/2017/24,Mizoram,Champhai,Khuangleng slide,Khuangleng village,23.303412,93.31066,Rock,Slide,2017
21553,MZ/CHA/84E07/2017/18,Mizoram,Champhai,,Khuangleng village,23.303639,93.311361,Rock,Slide,2017
21554,MZ/CHA/84E07/2017/11,Mizoram,Champhai,,"2.5 km north of Sesih 
(khuangleng road)",23.304778,93.329472,Debris,Slide,NA
21555,MZ/CHA/84E07/2017/13,Mizoram,Champhai,,3.5 km north of Khuangleng,23.304833,93.306778,Debris,Slide,NA
21556,MZ/CHA/84E07/2017/4,Mizoram,Champhai,,Khaungleng (near health centre) 23.305111,,93.311528,Debris,Slide,NA
21557,MZ/SER/84A15/2016/2,Mizoram,Serchhip,,"About 1.6km East of Mat River 
Bridge (DGM Gate), SH 
Thenzawl-Serchhip Road",23.305259,92.809736,Debris,Slide,2016
21558,MZ/CHA/84E07/2017/119,Mizoram,Champhai,,4km north of Khuangleng,23.30622,93.294554,Debris,Slide,NA
21559,MZ/CHA/84E07/2017/103,Mizoram,Champhai,,KhuanglengChamphai Rd,23.306444,93.303889,Rock,Slide,NA
21560,MZ/CHA/84E07/2017/110,Mizoram,Champhai,Khuangleng slide,Khuangleng,23.306444,93.311639,Rock,Slide,NA
21561,MZ/SER/84A15/2016/117,Mizoram,Serchhip,,"East of Tlawng River Bridge, SH-
Thenzawl-Buarpui Road",23.306654,92.707482,Rock,Fall,NA
21562,MZ/CHA/84E07/2017/91,Mizoram,Champhai,,Khuangleng area,23.307833,93.311672,Rock,Slide,NA
21563,MZ/SER/84A15/2016/118,Mizoram,Serchhip,,"East of Tlawng River Bridge, SH-
Thenzawl-Buarpui Road",23.308202,92.731268,Rock,Slide,2016
21564,MZ/SER/84A15/2016/35,Mizoram,Serchhip,,"About 100m  South of Assam 
rifeles Camp, Chanmari Veng, 
Serchhip-DIET Road",23.308769,92.862258,Rock,Slide,2016
21565,MZ/SER/84A15/2016/34,Mizoram,Serchhip,,"About 50m West of dumping 
site, Chanmari veng, Serchhip-
DIET Road",23.309091,92.86293,Debris,Slide,2016
21566,MZ/CHA/84E07/2017/84,Mizoram,Champhai,,0.8km north of Khuangleng,23.310167,93.311889,Rock,Slide,2017
21567,MZ/CHA/84E07/2017/74,Mizoram,Champhai,,North of Khuangleng,23.310611,93.312,Rock,Slide,NA
21568,MZ/CHA/84E07/2017/59,Mizoram,Champhai,,Khuangleng  Seisa road,23.311082,93.323501,Debris,Slide,NA
21569,MZ/CHA/84E07/2017/3,Mizoram,Champhai,,"Khuangleng (Sesih 8km mile 
stone)",23.311604,93.313134,Rock,Slide,NA
21570,MZ/CHA/84E07/2017/1,Mizoram,Champhai,,Khuangleng  Seisa road,23.312747,93.314456,Debris,Slide,NA
21571,MZ/SER/84A15/2016/42,Mizoram,Serchhip,,"P & E Veng,(Power and Electric 
department), Serchhip",23.314208,92.858096,Rock,Slide,2016
21572,MZ/SER/84A15/2016/1,Mizoram,Serchhip,,"About 50m East of Mat River 
Bridge (DGM Gate), SH 
Thenzawl-Serchhip Road",23.314408,92.808662,Rock,Slide,2016
21573,MZ/SER/84A15/2016/126,Mizoram,Serchhip,,"About 1.7km Northwest of 
Serchhip road junction, SH-
Aizawl-Thenzawl-Lunglei Road",23.315355,92.786906,Rock,Slide,2016
21574,MZ/SER/84A15/2016/125,Mizoram,Serchhip,,"About 1.2km Northwest of 
Serchhip road junction, SH-
Aizawl-Thenzawl-Lunglei Road",23.3154,92.791224,Rock,Slide,2016
21575,MZ/SER/84A15/2016/43,Mizoram,Serchhip,N/A,N/A,23.315806,92.859192,Debris,Slide,2014
21576,MZ/SER/84A15/2016/41,Mizoram,Serchhip,,"Near Presbyterian English 
School, NH-54 Aizawl-Serchhip-
Lunglei Road",23.316221,92.856217,Debris,Slide,2015
21577,MZ/SER/84A15/2016/40,Mizoram,Serchhip,,"Leisang veng, Serchhip, NH-54 
Aizawl-Serchhip-Lunglei Road",23.318805,92.853099,Debris,Slide,2016
21578,MZ/CHA/84E07/2017/2,Mizoram,Champhai,,10 km south of Dilkawn,23.320197,93.285718,Rock,Slide,NA
21579,MZ/SER/84A15/2016/39,Mizoram,Serchhip,,"IOC Veng, Serchhip, NH-54 
Aizawl-Serchhip-Lunglei Road",23.320289,92.854914,Rock,Slide,NA
21580,MZ/SER/84A15/2016/38,Mizoram,Serchhip,,"Near the Sawing Mill, Bilzel 
veng, Serchhip, NH-54 Aizawl-
Serchhip-Lunglei Road",23.320815,92.854748,Debris,Slide,2014
21581,MZ/SER/84A15/2016/37,Mizoram,Serchhip,,"IOC Veng, Serchhip, NH-54 
Aizawl-Serchhip-Lunglei Road",23.321505,92.854734,Rock,Slide,2015
21582,MZ/SER/84A15/2016/45,Mizoram,Serchhip,,"Near Catholic School, P & E 
Veng,(Power and Electric 
department), Serchhip",23.321765,92.8589,Rock,Slide,NA
21583,MZ/SER/84A15/2016/44,Mizoram,Serchhip,,"P & E Veng,(Power and Electric 
department), Serchhip",23.321864,92.859431,Rock,Slide,NA
21584,MZ/CHA/84E03/2017/60,Mizoram,Champhai,,Champhai,23.322151,93.066154,Rock,Slide,NA
21585,MZ/SER/84A15/2016/36,Mizoram,Serchhip,,"Near 16km Milestone(Keitum), 
Serchhip, NH-54 Aizawl-
Serchhip-Lunglei Road",23.322363,92.854689,Rock,Slide,2016
21586,MZ/CHA/84E03/2017/64,Mizoram,Champhai,Khawhai slide,Khawhai  Tlangpui road.,23.322995,93.092151,Rock,Slide,NA
21587,MZ/CHA/84E03/2017/74,Mizoram,Champhai,,Khawhai  Tlangpui road.,23.325028,93.092333,Debris,Slide,NA
21588,MZ/CHA/84E03/2017/75,Mizoram,Champhai,,10 km south of Khawhai,23.3305,93.096806,Debris,Slide,NA
21589,MZ/CHA/84E03/2017/78,Mizoram,Champhai,,Tlangpui road,23.33101,93.091406,Debris,Slide,NA
21590,MZ/SER/84A15/2016/124,Mizoram,Aizawl,,"About 4.2km Northwest of 
Sailam Bazar, SH-Aizawl-
Thenzawl-Lunglei Road",23.333984,92.781878,Debris,Slide,2016
21591,MZ/CHA/84E03/2017/13,Mizoram,Champhai,,Tlangpui road,23.336389,93.074722,Debris,Slide,NA
21592,MZ/CHA/84E07/2017/12,Mizoram,Champhai,,Bulfekzawl Rd,23.336425,93.361493,Debris,Slide,NA
21593,MZ/CHA/84E03/2017/25,Mizoram,Champhai,,Tlangpui road,23.336955,93.07526,Rock,Slide,NA
21594,MZ/CHA/84E03/2017/29,Mizoram,Champhai,,Champhai,23.337519,93.076258,Rock,Slide,NA
21595,MZ/CHA/84E07/2017/29,Mizoram,Champhai,,Bulfekzawl Rd,23.339889,93.357889,Debris,Slide,NA
21596,MZ/CHA/84E03/2017/31,Mizoram,Champhai,,N of Sialhawk,23.340389,93.102306,Rock,Fall,NA
21597,MZ/CHA/84E03/2017/35,Mizoram,Champhai,,Tlangpui road,23.340722,93.081083,Debris,Slide,NA
21598,MZ/CHA/84E03/2017/43,Mizoram,Champhai,,Tlangpui road,23.341111,93.080583,Debris,Slide,NA
21599,MZ/CHA/84E03/2017/51,Mizoram,Champhai,,Tlangpui road,23.341194,93.080389,Debris,Slide,NA
21600,MZ/CHA/84E03/2017/57,Mizoram,Champhai,,Tlangpui road,23.341333,93.080056,Debris,Slide,NA
21601,MZ/SER/84A15/2016/123,Mizoram,Aizawl,,"About 15.7km North of 
Thenzawl, SH-Aizawl-Thenzawl-
Lunglei Road",23.349857,92.780208,Rock,Slide,2015
21602,MZ/CHA/84E07/2017/61,Mizoram,Champhai,,Dilkawn Rd,23.350776,93.296677,Rock,Slide,NA
21603,MZ/CHA/84E07/2017/63,Mizoram,Champhai,,Dilkawn Rd,23.351115,93.296893,Rock,Slide,NA
21604,MZ/SER/84A15/2016/122,Mizoram,Aizawl,,"16km Milestone,  SH-Aizawl-
Thenzawl-Lunglei Road",23.351772,92.781701,Rock,Slide,2015
21605,MZ/CHA/84E07/2017/64,Mizoram,Champhai,,Dilkawn Rd,23.353111,93.299361,Debris,Slide,NA
21606,MZ/SER/84A15/2016/112,Mizoram,Aizawl,,"Sailam, PMGSY Sialsuk-Sailam 
Road",23.353803,92.794306,Debris,Slide,2016
21607,MZ/CHA/84E07/2017/65,Mizoram,Champhai,,4 km south of Dilkawn,23.354778,93.300556,Debris,Slide,2017
21608,MZ/CHA/84E07/2017/66,Mizoram,Champhai,,3.5 km south of Dilkawn,23.35691,93.301356,Rock,Slide,NA
21609,MZ/CHA/84E07/2017/67,Mizoram,Champhai,,3 km mile stone Dilkawn,23.359579,93.298884,Rock,Slide,NA
21610,MZ/LUN/84A11/2017/137,Mizoram,Lunglei,,"About 2km South of S. 
Khawlek,SH-Aibawk-Darlung- 
Buarpui-Lunglei Road",23.360199,92.632911,Rock,Slide,2016
21611,MZ/CHA/84E07/2017/68,Mizoram,Champhai,,2.5 km s of Dilkawn,23.361979,93.299909,Debris,Slide,NA
21612,MZ/CHA/84E07/2017/70,Mizoram,Champhai,,Hruikawn Rd,23.36545,93.377907,Rock,Fall,NA
21613,MZ/CHA/84E07/2017/73,Mizoram,Champhai,,Hruikawn Rd (Zokhawthar),23.366333,93.380028,Debris,Slide,NA
21614,MZ/CHA/84E07/2017/75,Mizoram,Champhai,,Hruikawn Rd (Zokhawthar),23.366694,93.380139,Rock,Fall,NA
21615,MZ/CHA/84E07/2017/77,Mizoram,Champhai,,Hruikawn Rd (Zokhawthar),23.367333,93.380083,Soil,Slide,NA
21616,MZ/CHA/84E07/2017/78,Mizoram,Champhai,,Hruikawn Rd (Zokhawthar),23.367806,93.381139,Debris,Flow,NA
21617,MZ/CHA/84E07/2017/79,Mizoram,Champhai,,ZokhawtharHruikawn Rd,23.368361,93.379667,Debris,Slide,NA
21618,MZ/CHA/84E07/2017/80,Mizoram,Champhai,,ZokhawtharHruikawn Rd,23.368386,93.380632,Soil,Slide,NA
21619,MZ/CHA/84E07/2017/81,Mizoram,Champhai,,2.3 km Dilkawn,23.369857,93.296657,Debris,Slide,NA
21620,MZ/CHA/84E03/2017/62,Mizoram,Champhai,,South of Khawhai,23.370167,93.120444,Rock,Slide,NA
21621,MZ/CHA/84E07/2017/82,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.373849,93.383061,Debris,Slide,NA
21622,MZ/CHA/84E03/2017/63,Mizoram,Champhai,,Khawhai Dil,23.37492,93.1185,Rock,Slide,NA
21623,MZ/CHA/84E07/2017/83,Mizoram,Champhai,Zokhawthar slide 4,Zakhowthar Melbuk Rd,23.375634,93.384499,Debris,Slide,2017
21624,MZ/CHA/84E07/2017/85,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.375972,93.384639,Rock,Slide,NA
21625,MZ/CHA/84E07/2017/86,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.376472,93.384778,Debris,Slide,NA
21626,MZ/CHA/84E07/2017/87,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.3765,93.384861,Debris,Slide,NA
21627,MZ/CHA/84E03/2017/65,Mizoram,Champhai,,Chalrang village,23.378571,93.218843,Soil,Slide,NA
21628,MZ/CHA/84E07/2017/88,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.379469,93.385565,Soil,Slide,NA
21629,MZ/CHA/84E07/2017/90,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.379732,93.383565,Rock,Slide,NA
21630,MZ/CHA/84E07/2017/89,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.379812,93.384813,Rock,Slide,NA
21631,MZ/CHA/84E03/2017/66,Mizoram,Champhai,,Near Khawhai school,23.38075,93.13075,Soil,Slide,NA
21632,MZ/CHA/84E03/2017/67,Mizoram,Champhai,,Near Khawhai junction,23.380806,93.128917,Rock,Slide,NA
21633,MZ/CHA/84E03/2017/68,Mizoram,Champhai,Khawhai slide,Khawhai  Tung Tan road,23.381167,93.112917,Rock,Slide,NA
21634,MZ/CHA/84E07/2017/92,Mizoram,Champhai,,Zakhowthar Melbuk Rd,23.382417,93.384944,Soil,Slide,NA
21635,MZ/CHA/84E03/2017/69,Mizoram,Champhai,Khawhai slide,khawhai  Tung Tan road,23.382695,93.116001,Debris,Slide,NA
21636,MZ/SER/84A15/2016/30,Mizoram,Serchhip,,"Chhiahtlang Village, NH-54 
Aizawl-Serchhip-Lunglei Road",23.383745,92.845792,Debris,Slide,NA
21637,MZ/CHA/84E03/2017/70,Mizoram,Champhai,,Khawhai  Tung Tan road,23.383778,93.115972,Soil,Slide,NA
21638,MZ/CHA/84E03/2017/71,Mizoram,Champhai,,West of Chalrang village,23.384222,93.145528,Rock,Slide,NA
21639,MZ/SER/84A15/2016/63,Mizoram,Serchhip,,"Chhaitlang vengchung, NH-54 
Aizawl-Serchhip-Lunglei Road",23.385211,92.844697,Debris,Slide,2016
21640,MZ/SER/84A15/2016/64,Mizoram,Serchhip,,"Near District Jail, Serchhip, 
Chhingchhip-Sialhau Road",23.38533,92.855433,Debris,Slide,2016
21641,MZ/CHA/84E03/2017/72,Mizoram,Champhai,,West of Chalrang village,23.387194,93.147806,Soil,Slide,NA
21642,MZ/SER/84A15/2016/129,Mizoram,Serchhip,,"North of Sialhau, PMGSY 
Thentlang-Sialhau Road",23.387328,92.933397,Rock,Slide,2016
21643,MZ/CHA/84E07/2017/93,Mizoram,Champhai,,Kelkang village,23.388162,93.312962,Debris,Slide,NA
21644,MZ/SER/84A15/2016/31,Mizoram,Serchhip,,"Near Presbyterian Kohran, 
Chhiahtlang, NH-54 Aizawl-
Serchhip-Lunglei Road",23.388377,92.845102,Rock,Slide,2014
21645,MZ/CHA/84E03/2017/73,Mizoram,Champhai,Champhai slide,"Jail Veng Rd, Champhai",23.388585,93.2446,Rock,Slide,NA
21646,MZ/CHA/84E07/2017/94,Mizoram,Champhai,,0.8km towards Mualkawi,23.390204,93.311043,Rock,Slide,NA
21647,MZ/CHA/84E07/2017/95,Mizoram,Champhai,,MelbukMulkawi Rd,23.391352,93.376359,Rock,Fall,NA
21648,MZ/CHA/84E07/2017/96,Mizoram,Champhai,,MelbukMulkawi Rd,23.391983,93.376078,Debris,Slide,NA
21649,MZ/CHA/84E07/2017/97,Mizoram,Champhai,,MelbukMulkawi Rd,23.392598,93.375863,Rock,Fall,NA
21650,MZ/CHA/84E07/2017/98,Mizoram,Champhai,,East of Melbuk,23.393194,93.378917,Debris,Slide,NA
21651,MZ/AIZ/84A11/2016/111,Mizoram,Aizawl,,"About 500m of Sialsuk Junction 
towards Thenzawl, SH-Aizawl-
Thenzawl-Lunglei Road",23.393332,92.758148,Rock,Slide,2016
21652,MZ/CHA/84E07/2017/99,Mizoram,Champhai,,"Mualkawi 7km mile stone, 
Kelkang 2km",23.393889,93.309244,Debris,Slide,NA
21653,MZ/CHA/84E07/2017/100,Mizoram,Champhai,,MelbukMulkawi Rd,23.394333,93.374861,Rock,Slide,NA
21654,MZ/CHA/84E07/2017/101,Mizoram,Champhai,,East of Melbuk,23.394732,93.381271,Rock,Slide,NA
21655,MZ/CHA/84E07/2017/102,Mizoram,Champhai,,MelbukMulkawi Rd,23.395159,93.374335,Rock,Slide,NA
21656,MZ/CHA/84E07/2017/104,Mizoram,Champhai,,"W of Melbuk along Champhai 
Rd",23.395375,93.369426,Rock,Slide,NA
21657,MZ/CHA/84E07/2017/105,Mizoram,Champhai,,5km W of Melbuk,23.395474,93.370459,Soil,Slide,NA
21658,MZ/CHA/84E07/2017/106,Mizoram,Champhai,,MelbukMulkawi Rd,23.396738,93.368237,Soil,Slide,NA
21659,MZ/AIZ/84A11/2016/110,Mizoram,Aizawl,,"About 800m of Sialsuk Junction 
towards Thenzawl, SH-Aizawl-
Thenzawl-Lunglei Road",23.397126,92.757203,Rock,Slide,2016
21660,MZ/CHA/84E07/2017/107,Mizoram,Champhai,,East of Melbuk (new rd cut),23.397417,93.385722,Soil,Slide,NA
21661,MZ/CHA/84E07/2017/108,Mizoram,Champhai,,East of Melbuk,23.397861,93.3845,Rock,Slide,NA
21662,MZ/CHA/84E07/2017/109,Mizoram,Champhai,,MelbukMulkawi Rd,23.397884,93.384281,Rock,Slide,NA
21663,MZ/SER/84A15/2016/127,Mizoram,Serchhip,,"About 1km North of 
Chhaiahtlang,  Chhaiahtlang-
Lamchhip (Darzika) Road",23.40002,92.842404,Debris,Slide,2016
21664,MZ/SER/84A15/2016/32,Mizoram,Serchhip,,"92km MileStone Chhiahtlang, 
NH-54 Aizawl-Serchhip-Lunglei 
Road",23.401015,92.848482,Rock,Slide,2016
21665,MZ/AIZ/84A11/2016/109,Mizoram,Aizawl,,"At 2km Mile Stone, North of 
Sialsuk, SH-Aizawl-Thenzawl-
Lunglei Road",23.40178,92.750005,Rock,Slide,2016
21666,MZ/AIZ/84A11/2016/108,Mizoram,Aizawl,,"About 2km North of Sialsuk 
near Two Sister Highway Hotel, 
SH-Aizawl-Thenzawl-Lunglei 
Road",23.403402,92.750288,Rock,Slide,2016
21667,MZ/CHA/84E07/2017/111,Mizoram,Champhai,,4.8 km south of Mualkawi,23.404207,93.318763,Rock,Slide,NA
21668,MZ/SER/84A15/2016/33,Mizoram,Serchhip,,"2km from Chhiahtlang, near 
11km Milestone (Chhingchhip), 
NH-54 Aizawl-Serchhip-Lunglei 
Road",23.405305,92.851014,Rock,Slide,2015
21669,MZ/CHA/84E07/2017/112,Mizoram,Champhai,,SE of Mualkawi village,23.40555,93.360549,Rock,Slide,NA
21670,MZ/CHA/84E07/2017/113,Mizoram,Champhai,,MelbukMulkawi Rd,23.406236,93.356052,Debris,Slide,NA
21671,MIZO/AIZ/84A10/2007/E-1,Mizoram,Aizawl,Zembawk slide,,23.406389,92.75325,Debris,Slide,08.09.2007 at night
21672,MZ/CHA/84E07/2017/114,Mizoram,Champhai,,4km south of Mualkawu,23.407528,93.318111,Debris,Slide,NA
21673,MZ/CHA/84E07/2017/115,Mizoram,Champhai,,Zakhowthar Mulkawi Rd,23.408528,93.361278,Rock,Slide,NA
21674,MZ/AIZ/84A11/2016/97,Mizoram,Aizawl,,"North of Sialsuk, SH-Sialsuk-
Samlukhai-Damdia Road",23.409674,92.750935,Rock,Slide,2016
21675,MZ/CHA/84E07/2017/116,Mizoram,Champhai,Melbuk slide,MelbukMulkawi Rd,23.410218,93.343897,Rock,Slide,NA
21676,MZ/AIZ/84A11/2016/98,Mizoram,Aizawl,,"North of Sialsuk, SH-Sialsuk-
Samlukhai-Damdia Road",23.411146,92.752193,Debris,Slide,2016
21677,MZ/CHA/84E07/2017/117,Mizoram,Champhai,Melbuk slide,MelbukMulkawi Rd,23.411417,93.343361,Rock,Slide,NA
21678,MZ/CHA/84E03/2017/76,Mizoram,Champhai,,Khawhai Khawzawl rd,23.411942,93.154836,Rock,Slide,NA
21679,MZ/AIZ/84A11/2016/99,Mizoram,Aizawl,,"west of Samlukhai, SH-Sialsuk-
Samlukhai-Damdia Road",23.412046,92.750099,Rock,Slide,2016
21680,MZ/CHA/84E07/2017/118,Mizoram,Champhai,,MelbukMulkawi Rd,23.412845,93.33833,Rock,Slide,NA
21681,MZ/AIZ/84A11/2016/107,Mizoram,Aizawl,,"About 4.5Km North of 
Sialsuk,SH-Aizawl-Thenzawl-
Lunglei Road",23.412879,92.75401,Rock,Slide,2016
21682,MZ/AIZ/84A11/2016/96,Mizoram,Aizawl,,"About 200m West of Smalukhai, 
SH-Sialsuk-Samlukhai-Damdia 
Road",23.413501,92.725781,Debris,Slide,2016
21683,MZ/CHA/84E03/2017/77,Mizoram,Champhai,,"North of Khawhai  (Agrilink 
road)",23.414113,93.136272,Rock,Slide,2017
21684,MZ/AIZ/84A11/2016/95,Mizoram,Aizawl,,"About 800m Northwest of 
Samlukhai,  SH-Sialsuk-
Samlukhai-Damdia Road",23.415165,92.722199,Rock,Slide,2016
21685,MZ/AIZ/84A11/2016/106,Mizoram,Aizawl,,"South of Chamring, about 
7.5km North of Sialsuk, SH-
Aizawl-Thenzawl-Lunglei Road",23.417482,92.770557,Rock,Slide,2016
21686,MZ/CHA/84E03/2017/79,Mizoram,Champhai,,Khawhai  Khawzawl road,23.418808,93.163009,Debris,Slide,NA
21687,MZ/CHA/84E07/2017/120,Mizoram,Champhai,,Mualkawi church area,23.419417,93.333333,Rock,Slide,NA
21688,MZ/CHA/84E07/2017/121,Mizoram,Champhai,Mualkawi slide,Mualkawi village,23.4195,93.331917,Debris,Slide,NA
21689,MZ/AIZ/84A11/2016/94,Mizoram,Aizawl,,"About 2.3 km Northwest of 
Samlukhai,  SH-Sialsuk-
Samlukhai-Damdia Road",23.421903,92.715601,Rock,Slide,2016
21690,MZ/CHA/84E03/2017/80,Mizoram,Champhai,,Kawhai  Khawzawl road,23.422583,93.166,Rock,Slide,NA
21691,MZ/AIZ/84A11/2016/93,Mizoram,Aizawl,,"About 2.5 km Northwest of 
Samlukhai,  SH-Sialsuk-
Samlukhai-Damdia Road",23.423348,92.715571,Debris,Slide,2016
21692,MZ/CHA/84E03/2017/81,Mizoram,Champhai,,19.5 km towards Khawzawl,23.423972,93.165944,Rock,Slide,NA
21693,MZ/CHA/84E03/2017/82,Mizoram,Champhai,,Khawhai  Khawzawl road,23.42425,93.168778,Soil,Slide,NA
21694,MZ/CHA/84E03/2017/14,Mizoram,Champhai,,Khawzawl  Khawhai road,23.424417,93.167306,Soil,Slide,NA
21695,MZ/AIZ/84A11/2016/92,Mizoram,Aizawl,,"About 3 km Northwest of 
Samlukhai,  SH-Sialsuk-
Samlukhai-Damdia Road",23.425424,92.716106,Debris,Slide,2016
21696,MZ/CHA/84E03/2017/15,Mizoram,Champhai,,Khawhai  Khawzawl road,23.425583,93.168278,Debris,Slide,2017
21697,MZ/CHA/84E07/2017/5,Mizoram,Champhai,Mualkawi slide,"Mualkawi Village (near the 
bypass road)",23.427418,93.335544,Debris,Slide,NA
21698,MZ/CHA/84E07/2017/7,Mizoram,Champhai,Zokhawthar slide 3,IndoMyanmar road,23.427611,93.336861,Rock,Slide,NA
21699,MZ/AIZ/84A11/2016/91,Mizoram,Aizawl,,"About 4 km Northwest of 
Samlukhai,  SH-Sialsuk-
Samlukhai-Damdia Road",23.427681,92.714959,Debris,Slide,2016
21700,MZ/CHA/84E07/2017/6,Mizoram,Champhai,,"IndoMyanmar road (north of 
Mualkawi)",23.427713,93.33564,Rock,Slide,NA
21701,MZ/CHA/84E07/2017/8,Mizoram,Champhai,,IndoMyanmar road,23.428061,93.339182,Rock,Slide,NA
21702,MZ/CHA/84E03/2017/16,Mizoram,Champhai,,Khawhai  Khawzawl road,23.429181,93.171166,Debris,Slide,2017
21703,MZ/CHA/84E03/2017/17,Mizoram,Champhai,,Khawhai  Khawzawl road,23.430917,93.171889,Rock,Slide,NA
21704,MZ/CHA/84E07/2017/9,Mizoram,Champhai,Zokhawthar slide 1,"Indo Myanmar boarder road 
(north of Mualkawi)",23.431639,93.33925,Rock,Slide,NA
21705,MZ/CHA/84E07/2017/10,Mizoram,Champhai,Zokhawthar slide 2,"Indo Myanmar boarder road 
(north of Mualkawi)",23.43179,93.339128,Rock,Slide,NA
21706,MZ/SER/84A15/2016/46,Mizoram,Serchhip,,"About 5.9 Km North of 
Chhiahtlang, NH-54 Aizawl-
Serchhip-Lunglei Road",23.434706,92.854894,Debris,Slide,2016
21707,MZ/SER/84A15/2016/76,Mizoram,Serchhip,,"Southwest of Tuikum River 
Bridge,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.43481,92.873933,Rock,Slide,2016
21708,MZ/SER/84A15/2016/75,Mizoram,Serchhip,,"Southeast of Sainik 
School,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.435405,92.871814,Debris,Slide,2015
21709,MZ/SER/84A15/2016/77,Mizoram,Serchhip,,"Southwest of Tuikum River 
Bridge,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.436999,92.875456,Rock,Slide,2016
21710,MZ/SER/84A15/2016/78,Mizoram,Serchhip,,"Southwest of Tuikum River 
Bridge,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.438997,92.877502,Rock,Slide,2016
21711,MZ/CHA/84E03/2017/18,Mizoram,Champhai,,Chawngtlai Tualte road.,23.439142,93.222581,Rock,Slide,NA
21712,MZ/AIZ/84A11/2016/101,Mizoram,Aizawl,,"Southeast of Lungsai village,  SH-
Sialsuk-Samlukhai-Damdia Road",23.439894,92.702301,Debris,Slide,2016
21713,MZ/AIZ/84A11/2016/100,Mizoram,Aizawl,,"About 3km Southeast of Lungsai 
village,  SH-Sialsuk-Samlukhai-
Damdia Road",23.440648,92.703726,Rock,Slide,2016
21714,MZ/SER/84A15/2016/71,Mizoram,Serchhip,,"South of Sainik 
School,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.440711,92.864298,Rock,Slide,2016
21715,MZ/SER/84A15/2016/79,Mizoram,Serchhip,,"Northwest of Tuikum River 
Bridge,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.440973,92.87909,Debris,Slide,2016
21716,MZ/SER/84A15/2016/72,Mizoram,Serchhip,,"South of Sainik 
School,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.44129,92.865395,Rock,Slide,2016
21717,MZ/CHA/84E03/2017/19,Mizoram,Champhai,,Chawngtalai  Tualte road,23.442083,93.223472,Soil,Slide,NA
21718,MZ/SER/84A15/2016/73,Mizoram,Serchhip,,"Southeast of Sainik 
School,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.442118,92.868912,Rock,Slide,2016
21719,MZ/AIZ/84A11/2016/102,Mizoram,Aizawl,,"About 15km south of Damdia, 
SH-Sialsuk-Samlukhai-Damdia 
Road",23.442296,92.695903,Debris,Slide,2016
21720,MZ/SER/84A15/2016/70,Mizoram,Serchhip,,"Southwest of Sainik 
School,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.443793,92.862106,Debris,Slide,2015
21721,MZ/SER/84A15/2016/47,Mizoram,Serchhip,,"About 4km South of 
Chhingchhip, NH-54 Aizawl-
Serchhip-Lunglei Road",23.443878,92.85593,Rock,Slide,2016
21722,MZ/CHA/84E03/2017/20,Mizoram,Champhai,,Chawntalai  Tualte road,23.445083,93.223889,Debris,Slide,NA
21723,MZ/SER/84A15/2016/69,Mizoram,Serchhip,,"West of Sainik 
School,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.44608,92.861819,Debris,Slide,2016
21724,MZ/SER/84A15/2016/62,Mizoram,Serchhip,,"Sainik School, Chhingchhip",23.447015,92.866917,Rock,Slide,2016
21725,MZ/SER/84A15/2016/68,Mizoram,Serchhip,,"Northwest of Sainik 
School,Chhingchhip, PMGSY 
Chhingchhip-Hmuntha Road",23.447093,92.863082,Rock,Slide,2016
21726,MZ/CHA/84E03/2017/21,Mizoram,Champhai,,Chawngtalai  Tualte road,23.447639,93.223611,Rock,Slide,NA
